seq_num	parent_seq_num	max_status	
32040	31995	TS	
32090	32045	TS	
32120	32095	TS	
32155	32125	TS	
32180	32160	TS	
32220	32185	TS	
32265	32225	HR	
32300	32270	HR	
32345	32305	TS	
32400	32350	HR	
32460	32405	HR	
32495	32465	TS	
32535	32500	HR	
32565	32540	TS	
32595	32570	TS	
32645	32600	HR	
32675	32650	TS	
32725	32680	HR	
32760	32730	TS	
32800	32765	HR	
32855	32805	HR	
32890	32860	TS	
32915	32895	TS	
32965	32920	HR	
32995	32970	HR	
33045	33000	HR	
33070	33050	TS	
33140	33075	HR	
33210	33145	HR	
33240	33215	TS	
33270	33245	TS	
33305	33275	TS	
33345	33310	HR	
33375	33350	TS	
33405	33380	TS	
33430	33410	TS	
33485	33435	HR	
33515	33490	HR	
33560	33520	HR	
33590	33565	TS	
33630	33595	HR	
33650	33635	TS	
33690	33655	HR	
33750	33695	HR	
33780	33755	TS	
33805	33785	TS	
33855	33810	HR	
33915	33860	HR	
34015	33920	HR	
34035	34020	TS	
34075	34040	TS	
34100	34080	TS	
34150	34105	HR	
34195	34155	HR	
34240	34200	TS	
34275	34245	TS	
34335	34280	HR	
34355	34340	TS	
34400	34360	HR	
34475	34405	HR	
34525	34480	HR	
34605	34530	HR	
34635	34610	HR	
34685	34640	HR	
34740	34690	HR	
34775	34745	TS	
34830	34780	HR	
34855	34835	TS	
34900	34860	TS	
34935	34905	TS	
34980	34940	HR	
35000	34985	HR	
35060	35005	HR	
35110	35065	HR	
35145	35115	TS	
35170	35150	TS	
35235	35175	HR	
35310	35240	HR	
35400	35315	HR	
35505	35405	HR	
35560	35510	HR	
35620	35565	HR	
35685	35625	HR	
35715	35690	TS	
35740	35720	HR	
35785	35745	HR	
35830	35790	HR	
35880	35835	TS	
35910	35885	HR	
35970	35915	HR	
36000	35975	TS	
36070	36005	HR	
36130	36075	HR	
36200	36135	HR	
36260	36205	HR	
36280	36265	TS	
36345	36285	HR	
36385	36350	HR	
36425	36390	HR	
36455	36430	TS	
36545	36460	HR	
36605	36550	HR	
36665	36610	HR	
36700	36670	HR	
36740	36705	HR	
36795	36745	HR	
36870	36800	TS	
36910	36875	HR	
36955	36915	TS	
37030	36960	HR	
37090	37035	HR	
37135	37095	HR	
37185	37140	TS	
37225	37190	HR	
37255	37230	HR	
37305	37260	TS	
37340	37310	TS	
37380	37345	TS	
37410	37385	TS	
37435	37415	TS	
37460	37440	HR	
37490	37465	TS	
37540	37495	HR	
37575	37545	HR	
37655	37580	HR	
37675	37660	HR	
37705	37680	TS	
37780	37710	HR	
37860	37785	HR	
37900	37865	TS	
37950	37905	HR	
37980	37955	TS	
38055	37985	HR	
38140	38060	HR	
38220	38145	HR	
38270	38225	TS	
38320	38275	HR	
38345	38325	HR	
38410	38350	HR	
38495	38415	HR	
38555	38500	HR	
38590	38560	TS	
38635	38595	HR	
38665	38640	TS	
38690	38670	HR	
38760	38695	HR	
38805	38765	TS	
38830	38810	TS	
38860	38835	TS	
38920	38865	HR	
38975	38925	HR	
39025	38980	TS	
39060	39030	HR	
39090	39065	TS	
39215	39095	HR	
39240	39220	TS	
39270	39245	TS	
39320	39275	HR	
39355	39325	TS	
39380	39360	TS	
39440	39385	TS	
39510	39445	HR	
39560	39515	HR	
39610	39565	HR	
39665	39615	HR	
39690	39670	TS	
39770	39695	HR	
39815	39775	HR	
39870	39820	HR	
39910	39875	TS	
39940	39915	TS	
39970	39945	HR	
40020	39975	HR	
40060	40025	HR	
40085	40065	TS	
40125	40090	HR	
40200	40130	HR	
40270	40205	HR	
40300	40275	TS	
40335	40305	HR	
40385	40340	TS	
40430	40390	HR	
40465	40435	TS	
40500	40470	HR	
40595	40505	HR	
40625	40600	HR	
40690	40630	TS	
40725	40695	HR	
40790	40730	HR	
40870	40795	HR	
40935	40875	HR	
41035	40940	HR	
41065	41040	TS	
41130	41070	HR	
41175	41135	TS	
41215	41180	HR	
41270	41220	HR	
41300	41275	TS	
41350	41305	HR	
41390	41355	TS	
41450	41395	TS	
41515	41455	HR	
41575	41520	HR	
41645	41580	HR	
41700	41650	HR	
41740	41705	TS	
41775	41745	HR	
41815	41780	HR	
41860	41820	HR	
41960	41865	HR	
42045	41965	HR	
42080	42050	TS	
42140	42085	TS	
42185	42145	TS	
42215	42190	TS	
42245	42220	TS	
42340	42250	HR	
42450	42345	HR	
42525	42455	HR	
42565	42530	TS	
42640	42570	HR	
42690	42645	HR	
42750	42695	HR	
42790	42755	TS	
42840	42795	TS	
42880	42845	HR	
42980	42885	HR	
43070	42985	HR	
43115	43075	TS	
43165	43120	HR	
43230	43170	HR	
43255	43235	HR	
43315	43260	HR	
43375	43320	HR	
43420	43380	TS	
43520	43425	HR	
43565	43525	TS	
43590	43570	TS	
43705	43595	HR	
43735	43710	TS	
43800	43740	HR	
43850	43805	HR	
43950	43855	HR	
44045	43955	HR	
44125	44050	HR	
44165	44130	TS	
44195	44170	HR	
44225	44200	TS	
44305	44230	HR	
44380	44310	HR	
44440	44385	HR	
44475	44445	TS	
44525	44480	HR	
44580	44530	TS	
44640	44585	SS	
44690	44645	TS	
